Year,atiwgo_999_i_GB
1970,1961.0
1971,1892.6
1972,1774.8
1973,1823.4
1974,2116.2
1975,1961.8
1976,2078.4
1977,1973.1
1978,2026.5
1979,1953.8
1980,2036.0
1981,2351.5
1982,2501.9
1983,2568.8
1984,2644.6
1985,2681.3
1986,2737.9
1987,2697.6
1988,2802.3
1989,2962.8
1990,3016.2
1991,2910.2
1992,2797.8
1993,2592.2
1994,2779.6
1995,2883.4
1996,2901.2
1997,3162.5
1998,3629.5
1999,3751.1
2000,4046.1
2001,4105.8
2002,3913.8
2003,3888.0
2004,4131.3
2005,4399.4
2006,4472.2
2007,4604.2
2008,4576.7
2009,4356.0
2010,4170.4
2011,4203.9
2012,4097.3
2013,4133.5
2014,4090.1
2015,4194.6
2016,4357.7
2017,4483.0
2018,4562.7
2019,4587.9
