Year,wwealn_999_i_GB
1855,7.0918479
1856,6.9007525
1857,7.0055575
1858,6.352838
1859,6.4515333
1860,6.4110212
1861,6.5454226
1862,6.2917137
1863,6.1339302
1864,6.1723809
1865,6.2571759
1866,6.8551807
1867,7.7787318
1868,7.9657335
1869,7.3198171
1870,6.8824973
1871,6.5300994
1872,6.5959992
1873,6.6308303
1874,7.1564322
1875,6.8564034
1876,6.9247231
1877,6.7649589
1878,7.4228454
1879,6.5679779
1880,7.4800315
1881,6.559679
1882,6.3346896
1883,6.8042769
1884,6.9236779
1885,6.6554585
1886,6.521255
1887,6.3349047
1888,6.0041275
1889,5.8024144
1890,5.9242373
1891,6.5213132
1892,7.0333314
1893,6.8887553
1894,6.4262896
1895,6.2294893
1896,6.3323412
1897,6.2584414
1898,6.2664208
1899,6.3651695
1900,6.6540012
1901,7.3475223
1902,7.0654507
1903,7.4250479
1904,7.7284112
1905,7.4148331
1906,6.8661575
1907,6.5567932
1908,7.2518439
1909,7.3093286
1910,7.0375714
1911,6.9258146
1912,6.7178955
1913,6.7259927
1914,5.4080992
1915,4.383184
1916,3.2919798
1917,3.1072752
1918,2.9120774
1919,2.527781
1920,2.4588802
1921,2.5969598
1922,2.9261372
1923,3.2091467
1924,3.5072715
1925,3.5300124
1926,3.6080811
1927,3.734957
1928,3.589581
1929,3.3977389
1930,3.249383
1931,3.4993508
1932,4.0675783
1933,4.4501824
1934,4.5590429
1935,4.6763859
1936,4.444128
1937,3.9357181
1938,3.6931834
1939,3.6771398
1940,3.525892
1941,3.1720746
1942,2.9444494
1943,2.8277442
1944,2.7792077
1945,2.8801289
1946,2.876617
1947,2.5422723
1948,2.4397452
1949,2.5929942
1950,2.8289316
1951,2.9545007
1952,2.966291
1953,2.8582206
1954,2.8245525
1955,2.9246893
1956,3.0272386
1957,3.0782571
1958,3.1464751
1959,3.2279694
1960,3.3158865
1961,3.3499968
1962,3.4349401
1963,3.5900061
1964,3.6684406
1965,3.6099005
1966,3.6225643
1967,3.7300928
1968,3.8441162
1969,3.9304585
1970,4.0954056
1971,4.2866654
1972,4.5822625
1973,4.8647008
1974,5.025414
1975,5.1153169
1976,4.4724507
1977,4.3157883
1978,4.4273114
1979,4.8453989
1980,4.9918079
1981,4.7768908
1982,4.7277455
1983,4.7441225
1984,4.786849
1985,4.9044933
1986,5.0836811
1987,5.2199478
1988,5.5064244
1989,5.7238927
1990,5.5275502
1991,5.2397079
1992,5.1147199
1993,5.1417108
1994,4.9947581
1995,4.5530658
1996,4.5230651
1997,4.5740666
1998,4.7615595
1999,4.913815
2000,5.1465635
2001,5.1330037
2002,5.1412454
2003,5.2749043
2004,5.4337626
2005,5.6335058
2006,5.7704196
2007,5.8497581
2008,5.2571797
2009,4.8739948
2010,5.3443003
2011,5.2548146
2012,5.3995304
2013,5.3817959
2014,5.5337543
2015,5.7280035
2016,5.8691545
2017,5.9231014
2018,5.809135
2019,5.7954206
2020,6.4389029
2021,6.1833606
2022,5.8744555
